/art	kafield.art
/art/film	art.genre(film)
/astral_body	astronomy.object
/award	basic.award_type
/biology	life.creature
/body_part	attr.function(body)
/broadcast_network	org.broadcast_network
/broadcast_program	work.broadcast_program
/broadcast/tv_channel	service.tv_channel
/building	arc_structure.building
/building/airport	loc.airport
/building/dam	arc_structure.dam
/building/hospital	org.hospital
/building/hotel	loc.hotel
/building/library	loc.library
/building/power_station	product.device(electronic)
/building/restaurant	loc.restaurant
/building/sports_facility	product.equipment(sports)
/building/theater	arc_structure.theater
/chemistry	chemistry.chemical
/computer/algorithm	computer.algorithm
/computer/programming_language	language.programming
/disease	medicine.disease
/education/department	org.generic(education)
/education/educational_degree	basic.academic_degree
/event	event.generic
/event/attack	event.battle
/event/election	loc.electoral_district
/event/military_conflict	event.war
/event/natural_disaster	event.disaster(natural)
/event/protest	event.battle
/event/sports_event	event.sport
/event/terrorist_attack	event.war
/finance/currency	business.currency
/finance/stock_exchange	loc.stock_exchange
/food	food.generic
/game	activity.game
/geography/glacier	loc.geo.glacier
/geography/island	loc.island
/geography/mountain	land_form.mountain
/god	life.god
/government_agency	org.agency(government)
/government/government	org.government
/government/political_party	org.political_party
/internet/website	computer.web.site
/language	language.human_lang
/law	cognition.law
/living_thing	life.organism
/livingthing/animal	life.animal
/location	loc.generic
/location/body_of_water	loc.body_of_water
/location/bridge	arc_structure.bridge
/location/cemetery	loc.cemetery
/location/city	loc.city
/location/country	loc.country
/location/county	loc.county
/location/province	loc.admin_division.province
/medicine/drug	medicine.drug
/medicine/medical_treatment	medicine.treatment
/medicine/symptom	medicine.symptom
/metropolitan_transit/transit_line	vehicle.bus
/military	basic.unit.military
/music	work.song
/news_agency	ap.news_media
/newspaper	work.publication.newspaper
/organization	org.generic
/organization/airline	org.airline
/organization/company	org.company
/organization/educational_institution	org.generic(education)
/organization/fraternity_sorority	org.college_fraternity_sorority
/organization/sports_league	org.sports_league
/organization/sports_team	org.sports_team
/organization/terrorist_organization	military.force
/park	loc.park
/people/ethnicity	person_group.ethnic_group
/person	person.generic
/person/actor	person.performer.actor
/person/architect	person.architect
/person/artist	person.artist
/person/athlete	person.athlete
/person/author	person.pro.writer
/person/coach	person.sports.coach
/person/director	person.director.art
/person/doctor	person.medical.doctor
/person/engineer	person.architect
/person/monarch	person.royal.monarch
/person/musician	person.musician
/person/politician	person.politician
/person/religious_leader	person.leader(religious)
/person/soldier	person.warrior
/person/terrorist	person.warrior
/play	work.theatre
/product	product.generic
/product/airplane	vehicle.aeroplane
/product/camera	device.camera
/product/car	vehicle.car
/product/computer	device.computer
/product/engine_device	device.engine_motor
/product/instrument	basic.instrument
/product/mobile_phone	device.mobilephone
/product/ship	vehicle.ship
/product/spacecraft	vehicle.spacecraft
/product/weapon	device.weapon
/rail/railway	structure.road.railway
/religion	kafield.religion
/religion/religion	cognition.doctrine(religion)
/software	computer.software
/time	time.generic
/title	basic.title_of_person
/train	vehicle.train
/transit	arc_structure.transit_stop
/transportation/road	structure.road
/visual_art/color	attr.color
/written_work	work.literature_work
